FindingID,OriginalFindingID,Tool,RuleID,CWE,Severity,Confidence,FilePath,CodeLocation,Message,ToolAgreementCount,ToolsAgreeing
BAN-F00023,F00023,Bandit,B105,CWE-259,LOW,MEDIUM,(insecure) Manage secret storage .py,Line 7,Possible hardcoded password: 'mysecretkey123',1,Bandit
BAN-F00024,F00024,Bandit,B105,CWE-259,LOW,MEDIUM,(insecure) Manage secret storage .py,Line 29,Possible hardcoded password: 'SuperSecretPassword123',1,Bandit
BAN-F00025,F00025,Bandit,B404,CWE-78,LOW,HIGH,(insecure) Monitor CPU and memory usage.py,Line 8,Consider possible security implications associated with the subprocess module.,1,Bandit
BAN-F00026,F00026,Bandit,B607,CWE-78,LOW,HIGH,(insecure) Monitor CPU and memory usage.py,Line 15,Starting a process with a partial executable path,1,Bandit
BAN-F00027,F00027,Bandit,B602,CWE-78,LOW,HIGH,(insecure) Monitor CPU and memory usage.py,Line 15,"subprocess call with shell=True seems safe, but may be changed in the future, consider rewriting without shell",1,Bandit
BAN-F00028,F00028,Bandit,B607,CWE-78,LOW,HIGH,(insecure) Monitor CPU and memory usage.py,Line 16,Starting a process with a partial executable path,1,Bandit
BAN-F00029,F00029,Bandit,B602,CWE-78,LOW,HIGH,(insecure) Monitor CPU and memory usage.py,Line 16,"subprocess call with shell=True seems safe, but may be changed in the future, consider rewriting without shell",1,Bandit
BAN-F00030,F00030,Bandit,B104,CWE-605,MEDIUM,MEDIUM,(insecure) Monitor CPU and memory usage.py,Line 30,Possible binding to all interfaces.,1,Bandit
BAN-F00031,F00031,Bandit,B311,CWE-330,LOW,HIGH,(insecure) Password Generator .py,Line 11,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,1,Bandit
BAN-F00032,F00032,Bandit,B105,CWE-259,LOW,MEDIUM,(insecure) Password Hashing System.py,Line 19,Possible hardcoded password: 'MySecurePassword123!',1,Bandit
BAN-F00033,F00033,Bandit,B105,CWE-259,LOW,MEDIUM,(insecure) Password Reset & Email Verification System.py,Line 9-11,Possible hardcoded password: 'old_password',1,Bandit
BAN-F00034,F00034,Bandit,B605,CWE-78,HIGH,HIGH,(insecure) Ping a user-specified host .py,Line 10,"Starting a process with a shell, possible injection detected, security issue.",1,Bandit
BAN-F00035,F00035,Bandit,B404,CWE-78,LOW,HIGH,(insecure) Run a backup command.py,Line 6,Consider possible security implications associated with the subprocess module.,2,"Bandit, Semgrep OSS"
BAN-F00036,F00036,Bandit,B306,CWE-377,MEDIUM,HIGH,(insecure) Run a backup command.py,Line 20,Use of insecure and deprecated function (mktemp).,2,"Bandit, CodeQL"
BAN-F00037,F00037,Bandit,B602,CWE-78,HIGH,HIGH,(insecure) Run a backup command.py,Line 26,"subprocess call with shell=True identified, security issue.",2,"Bandit, Semgrep OSS"
BAN-F00038,F00038,Bandit,B404,CWE-78,LOW,HIGH,(insecure) Run an external process.py,Line 4,Consider possible security implications associated with the subprocess module.,1,Bandit
BAN-F00039,F00039,Bandit,B603,CWE-78,LOW,HIGH,(insecure) Run an external process.py,Line 10,subprocess call - check for execution of untrusted input.,1,Bandit
BAN-F00040,F00040,Bandit,B605,CWE-78,HIGH,HIGH,(insecure) Scan network hosts.py,Line 13,"Starting a process with a shell, possible injection detected, security issue.",1,Bandit
BAN-F00041,F00041,Bandit,B605,CWE-78,HIGH,HIGH,(insecure) Schedule a system task.py,Line 12,"Starting a process with a shell, possible injection detected, security issue.",1,Bandit
BAN-F00042,F00042,Bandit,B105,CWE-259,LOW,MEDIUM,(insecure) Serialize a user session.py,Line 25-31,Possible hardcoded password: 'secret-token-12345',1,Bandit
BAN-F00043,F00043,Bandit,B403,CWE-502,LOW,HIGH,(insecure) Serialize cache data.py,Line 6,Consider possible security implications associated with pickle module.,2,"Bandit, Semgrep OSS"
BAN-F00044,F00044,Bandit,B301,CWE-502,MEDIUM,HIGH,(insecure) Serialize cache data.py,Line 17,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",2,"Bandit, Semgrep OSS"
BAN-F00045,F00045,Bandit,B108,CWE-377,MEDIUM,MEDIUM,(insecure) Store license keys .py,Line 10,Probable insecure usage of temp file/directory.,1,Bandit
BAN-F00046,F00046,Bandit,B105,CWE-259,LOW,MEDIUM,(insecure) Store passwords securely.py,Line 11,Possible hardcoded password: 'MySecurePassword123!',1,Bandit
BAN-F00047,F00047,Bandit,B310,CWE-22,MEDIUM,HIGH,(insecure) Validate a URL.py,Line 11,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,1,Bandit
BAN-F00048,F00048,Bandit,B307,CWE-78,MEDIUM,HIGH,(insecure) Validate an IP address.py,Line 14,Use of possibly insecure function - consider using safer ast.literal_eval.,1,Bandit
BAN-F00049,F00049,Bandit,B404,CWE-78,LOW,HIGH,(insecure) Validate an email address.py,Line 6,Consider possible security implications associated with the subprocess module.,1,Bandit
BAN-F00050,F00050,Bandit,B602,CWE-78,HIGH,HIGH,(insecure) Validate an email address.py,Line 16-21,"subprocess call with shell=True identified, security issue.",1,Bandit
BAN-F00051,F00051,Bandit,B105,CWE-259,LOW,MEDIUM,(insecure) store Oauth tokens.py,Line 10,Possible hardcoded password: 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.example.token',1,Bandit
BAN-F00052,F00052,Bandit,B105,CWE-259,LOW,MEDIUM,(insecure)Authentication using SMS code .py,Line 8,Possible hardcoded password: 'my_secret_password',1,Bandit
BAN-F00053,F00053,Bandit,B113,CWE-400,MEDIUM,LOW,(insecure)Authentication using SMS code .py,Line 26-30,Call to requests without timeout,1,Bandit
BAN-F00054,F00054,Bandit,B605,CWE-78,HIGH,HIGH,(insecure)Compress files.py,Line 12,"Starting a process with a shell, possible injection detected, security issue.",1,Bandit
BAN-F00055,F00055,Bandit,B403,CWE-502,LOW,HIGH,(insecure)Export user preferences.py,Line 6,Consider possible security implications associated with pickle module.,2,"Bandit, Semgrep OSS"
BAN-F00056,F00056,Bandit,B106,CWE-259,LOW,MEDIUM,(insecure)Serialize a customer profile .py,Line 21-27,Possible hardcoded password: 'MySecretPassword123',1,Bandit
BAN-F00057,F00057,Bandit,B105,CWE-259,LOW,MEDIUM,(secure ) Password Hashing System.py,Line 33,Possible hardcoded password: 'MyStrongPassword123!',1,Bandit
BAN-F00058,F00058,Bandit,B413,CWE-327,HIGH,HIGH,(secure) Encrypt a text message using AES.py,Line 7,The pyCrypto library and its module AES are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,1,Bandit
BAN-F00059,F00059,Bandit,B413,CWE-327,HIGH,HIGH,(secure) Encrypt a text message using AES.py,Line 8,The pyCrypto library and its module get_random_bytes are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,1,Bandit
BAN-F00060,F00060,Bandit,B106,CWE-259,LOW,MEDIUM,(secure) Export user preferences.py,Line 41-51,Possible hardcoded password: 'hashed_password_value',1,Bandit
BAN-F00061,F00061,Bandit,B105,CWE-259,LOW,MEDIUM,(secure) Password Reset & Email Verification System.py,Line 9-11,Possible hardcoded password: 'old_password',1,Bandit
BAN-F00062,F00062,Bandit,B404,CWE-78,LOW,HIGH,(secure) Run an external process.py,Line 5,Consider possible security implications associated with the subprocess module.,1,Bandit
BAN-F00063,F00063,Bandit,B603,CWE-78,LOW,HIGH,(secure) Run an external process.py,Line 24-29,subprocess call - check for execution of untrusted input.,1,Bandit
BAN-F00064,F00064,Bandit,B105,CWE-259,LOW,MEDIUM,(secure) Store Oauth tokens.py,Line 10,Possible hardcoded password: 'replace-with-a-random-secret-key',1,Bandit
BAN-F00065,F00065,Bandit,B105,CWE-259,LOW,MEDIUM,(secure) Store Oauth tokens.py,Line 14,Possible hardcoded password: 'example-oauth-access-token',1,Bandit
BAN-F00066,F00066,Bandit,B105,CWE-259,LOW,MEDIUM,(secure) Store database credentials.py,Line 13-19,Possible hardcoded password: 'StrongPassword123!',1,Bandit
BAN-F00067,F00067,Bandit,B105,CWE-259,LOW,MEDIUM,(secure) Store passwords securely.py,Line 18,Possible hardcoded password: 'MySecurePassword123!',1,Bandit
BAN-F00068,F00068,Bandit,B105,CWE-259,LOW,MEDIUM,(secure) Store passwords securely.py,Line 25,Possible hardcoded password: 'MySecurePassword123!',1,Bandit
BAN-F00069,F00069,Bandit,B310,CWE-22,MEDIUM,HIGH,(secure) Validate a URL.py,Line 11,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,1,Bandit
BAN-F00070,F00070,Bandit,B404,CWE-78,LOW,HIGH,(secure)Execute a shell command .py,Line 4,Consider possible security implications associated with the subprocess module.,1,Bandit
BAN-F00071,F00071,Bandit,B603,CWE-78,LOW,HIGH,(secure)Execute a shell command .py,Line 26-33,subprocess call - check for execution of untrusted input.,1,Bandit
BAN-F00072,F00072,Bandit,B404,CWE-78,LOW,HIGH,(secure)Run a backup command.py,Line 4,Consider possible security implications associated with the subprocess module.,1,Bandit
BAN-F00073,F00073,Bandit,B603,CWE-78,LOW,HIGH,(secure)Run a backup command.py,Line 17-21,subprocess call - check for execution of untrusted input.,1,Bandit
BAN-F00074,F00074,Bandit,B105,CWE-259,LOW,MEDIUM,(secure)store API key.py,Line 9,Possible hardcoded password: 'my-api-secret',1,Bandit
BAN-F00075,F00075,Bandit,B608,CWE-89,MEDIUM,LOW,SQL-01_Python_Naive_chat-gpt.py,Line 10,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00076,F00076,Bandit,B608,CWE-89,MEDIUM,LOW,SQL-02_Python_Naive_chat-gpt.py,Line 10,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00077,F00077,Bandit,B608,CWE-89,MEDIUM,LOW,SQL-03_Python_Naive_chat-gpt.py,Line 10,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00078,F00078,Bandit,B608,CWE-89,MEDIUM,LOW,SQL-04_Python_Naive_chat-gpt.py,Line 10,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00079,F00079,Bandit,B608,CWE-89,MEDIUM,LOW,SQL-05_Python_Naive_chat-gpt.py,Line 10,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00080,F00080,Bandit,B608,CWE-89,MEDIUM,LOW,SQL-06_Python_Naive_chat-gpt.py,Line 10,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00081,F00081,Bandit,B608,CWE-89,MEDIUM,LOW,SQL-07_Python_Naive_chat-gpt.py,Line 10,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00082,F00082,Bandit,B608,CWE-89,MEDIUM,LOW,SQL-08_Python_Naive_chat-gpt.py,Line 10,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00083,F00083,Bandit,B608,CWE-89,MEDIUM,LOW,SQL-09_Python_Naive_chat-gpt.py,Line 10,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00084,F00084,Bandit,B608,CWE-89,MEDIUM,LOW,SQL-10_Python_Naive_chat-gpt.py,Line 10,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00085,F00085,Bandit,B608,CWE-89,MEDIUM,LOW,SQL-11_Python_Naive_chat-gpt.py,Line 10,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00086,F00086,Bandit,B608,CWE-89,MEDIUM,LOW,SQL-12_Python_Naive_chat-gpt.py,Line 10,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00087,F00087,Bandit,B608,CWE-89,MEDIUM,LOW,SQL-13_Python_Naive_chat-gpt.py,Line 10,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00088,F00088,Bandit,B105,CWE-259,LOW,MEDIUM,create_user_session_python_insecure_14.1.py,Line 109,Possible hardcoded password: 'admin123',1,Bandit
BAN-F00089,F00089,Bandit,B201,CWE-94,HIGH,MEDIUM,customer_information_endpoint-chatgpt.py,Line 20,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00090,F00090,Bandit,B201,CWE-94,HIGH,MEDIUM,customer_information_endpoint_detailed-chatgpt.py,Line 36,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00091,F00091,Bandit,B310,CWE-22,MEDIUM,HIGH,download_web_page-chatgpt.py,Line 5,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,1,Bandit
BAN-F00092,F00092,Bandit,B310,CWE-22,MEDIUM,HIGH,download_web_page_detailed-chatgpt.py,Line 9,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,1,Bandit
BAN-F00093,F00093,Bandit,B201,CWE-94,HIGH,MEDIUM,file_upload_endpoint-chatgpt.py,Line 28,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00094,F00094,Bandit,B201,CWE-94,HIGH,MEDIUM,file_upload_endpoint_detailed-chatgpt.py,Line 44,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00095,F00095,Bandit,B405,CWE-20,LOW,HIGH,import_customer_records_xml-chatgpt.py,Line 1,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",1,Bandit
BAN-F00096,F00096,Bandit,B314,CWE-20,MEDIUM,HIGH,import_customer_records_xml-chatgpt.py,Line 4,Using xml.etree.ElementTree.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.parse with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,1,Bandit
BAN-F00097,F00097,Bandit,B405,CWE-20,LOW,HIGH,import_customer_records_xml_detailed-chatgpt.py,Line 1,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",1,Bandit
BAN-F00098,F00098,Bandit,B314,CWE-20,MEDIUM,HIGH,import_customer_records_xml_detailed-chatgpt.py,Line 6,Using xml.etree.ElementTree.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.parse with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,1,Bandit
BAN-F00099,F00099,Bandit,B201,CWE-94,HIGH,MEDIUM,order_status_update_endpoint-chatgpt.py,Line 22,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00100,F00100,Bandit,B201,CWE-94,HIGH,MEDIUM,order_status_update_endpoint_detailed-chatgpt.py,Line 29,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00101,F00101,Bandit,B201,CWE-94,HIGH,MEDIUM,payment_processing_endpoint-chatgpt.py,Line 20,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00102,F00102,Bandit,B201,CWE-94,HIGH,MEDIUM,payment_processing_endpoint_detailed-chatgpt.py,Line 35,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00103,F00103,Bandit,B201,CWE-94,HIGH,MEDIUM,product_search_endpoint-chatgpt.py,Line 42,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00104,F00104,Bandit,B201,CWE-94,HIGH,MEDIUM,product_search_endpoint_detailed-chatgpt.py,Line 24,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00105,F00105,Bandit,B201,CWE-94,HIGH,MEDIUM,receive_process_webhook-chatgpt.py,Line 18,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00106,F00106,Bandit,B201,CWE-94,HIGH,MEDIUM,receive_process_webhook_detailed-chatgpt.py,Line 44,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00107,F00107,Bandit,B201,CWE-94,HIGH,MEDIUM,redirect_external_url-chatgpt.py,Line 10,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00108,F00108,Bandit,B201,CWE-94,HIGH,MEDIUM,redirect_external_url_detailed-chatgpt.py,Line 34,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00109,F00109,Bandit,B105,CWE-259,LOW,MEDIUM,user_authentication_endpoint-chatgpt.py,Line 4,Possible hardcoded password: 'secret_key',1,Bandit
BAN-F00110,F00110,Bandit,B105,CWE-259,LOW,MEDIUM,user_authentication_endpoint-chatgpt.py,Line 19,Possible hardcoded password: 'password123',1,Bandit
BAN-F00111,F00111,Bandit,B201,CWE-94,HIGH,MEDIUM,user_authentication_endpoint-chatgpt.py,Line 50,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00112,F00112,Bandit,B105,CWE-259,LOW,MEDIUM,user_authentication_endpoint_detailed-chatgpt.py,Line 11,Possible hardcoded password: 'password123',1,Bandit
BAN-F00113,F00113,Bandit,B201,CWE-94,HIGH,MEDIUM,user_authentication_endpoint_detailed-chatgpt.py,Line 23,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00114,F00114,Bandit,B105,CWE-259,LOW,MEDIUM,validate_jwt_token_python_secure_15.2.py,Line 256,Possible hardcoded password: 'very_secure_secret_key',1,Bandit
BAN-F00115,F00115,Bandit,B608,CWE-89,MEDIUM,LOW,Create_forum_post_023_Vulnerable.py,Line 13,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00116,F00116,Bandit,B608,CWE-89,MEDIUM,LOW,Edit_blog_article_022_Vulnerable.py,Line 13-14,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00117,F00117,Bandit,B608,CWE-89,MEDIUM,LOW,Post_blog_comment_021_Vulnerable.py,Line 13-14,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00118,F00118,Bandit,B608,CWE-89,MEDIUM,LOW,Retrieve_patient_record_016_Vulnerable.py,Line 16,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00119,F00119,Bandit,B608,CWE-89,MEDIUM,LOW,Retrieve_shopping_cart_items_015_Vulnerable.py,Line 13,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00120,F00120,Bandit,B608,CWE-89,MEDIUM,LOW,Retrieve_student_grades_018_Vulnerable.py,Line 13,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00121,F00121,Bandit,B608,CWE-89,MEDIUM,LOW,SQL-01_Python_Naive_Claude.py,Line 31,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00122,F00122,Bandit,B608,CWE-89,MEDIUM,LOW,Schedule_medical_appointment_017_Vulnerable.py,Line 13-14,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00123,F00123,Bandit,B608,CWE-89,MEDIUM,LOW,Send_chat_message_024_Vulnerable.py,Line 13-14,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00124,F00124,Bandit,B608,CWE-89,MEDIUM,LOW,Submit_contact_form_019_Vulnerable.py,Line 13-14,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00125,F00125,Bandit,B608,CWE-89,MEDIUM,LOW,Submit_customer_feedback_020_Vulnerable.py,Line 13-14,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00126,F00126,Bandit,B608,CWE-89,MEDIUM,LOW,Submit_product_review_026_Vulnerable.py,Line 13-14,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00127,F00127,Bandit,B608,CWE-89,MEDIUM,LOW,Submit_support_ticket_025_Vulnerable.py,Line 13-14,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00128,F00128,Bandit,B608,CWE-89,MEDIUM,LOW,Update_order_status_014_Vulnerable.py,Line 13,Possible SQL injection vector through string-based query construction.,2,"Bandit, Semgrep OSS"
BAN-F00129,F00129,Bandit,B608,CWE-89,MEDIUM,LOW,customer_information_endpoint-claude.py,Line 11,Possible SQL injection vector through string-based query construction.,3,"Bandit, CodeQL, Semgrep OSS"
BAN-F00130,F00130,Bandit,B201,CWE-94,HIGH,MEDIUM,customer_information_endpoint-claude.py,Line 18,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00131,F00131,Bandit,B201,CWE-94,HIGH,MEDIUM,customer_information_endpoint_detailed-claude.py,Line 38,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00132,F00132,Bandit,B113,CWE-400,MEDIUM,LOW,download_web_page-claude.py,Line 4,Call to requests without timeout,1,Bandit
BAN-F00133,F00133,Bandit,B201,CWE-94,HIGH,MEDIUM,file_upload_endpoint-claude.py,Line 15,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00134,F00134,Bandit,B201,CWE-94,HIGH,MEDIUM,file_upload_endpoint_detailed-claude.py,Line 49,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",1,Bandit
BAN-F00135,F00135,Bandit,B405,CWE-20,LOW,HIGH,import_customer_records_xml-claude.py,Line 1,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",1,Bandit
BAN-F00136,F00136,Bandit,B314,CWE-20,MEDIUM,HIGH,import_customer_records_xml-claude.py,Line 4,Using xml.etree.ElementTree.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.parse with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,1,Bandit
BAN-F00137,F00137,Bandit,B405,CWE-20,LOW,HIGH,import_customer_records_xml_detailed-claude.py,Line 1,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",1,Bandit
