FindingID,Tool,RuleID,CWE,Severity,Confidence,FilePath,CodeLocation,Message
F00017,Semgrep OSS,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/java/SQL-12_Java_Naive_chat-gpt.java,Line 16,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00018,Semgrep OSS,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/java/SQL-13_Java_Naive_chat-gpt.java,Line 16,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00019,Semgrep OSS,python.lang.security.audit.formatted-sql-query.formatted-sql-query,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/python/SQL-01_Python_Naive_chat-gpt.py,Line 11,Detected possible formatted SQL query. Use parameterized queries instead.
F00020,Semgrep OSS,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,CWE-89,error,very-high,final_dataset/generated_code/chatgpt/python/SQL-01_Python_Naive_chat-gpt.py,Line 11,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition"
F00021,Semgrep OSS,python.lang.security.audit.formatted-sql-query.formatted-sql-query,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/python/SQL-02_Python_Naive_chat-gpt.py,Line 11,Detected possible formatted SQL query. Use parameterized queries instead.
F00022,Semgrep OSS,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,CWE-89,error,very-high,final_dataset/generated_code/chatgpt/python/SQL-02_Python_Naive_chat-gpt.py,Line 11,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition"
F00023,Semgrep OSS,python.lang.security.audit.formatted-sql-query.formatted-sql-query,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/python/SQL-03_Python_Naive_chat-gpt.py,Line 11,Detected possible formatted SQL query. Use parameterized queries instead.
F00024,Semgrep OSS,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,CWE-89,error,very-high,final_dataset/generated_code/chatgpt/python/SQL-03_Python_Naive_chat-gpt.py,Line 11,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition"
F00025,Semgrep OSS,python.lang.security.audit.formatted-sql-query.formatted-sql-query,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/python/SQL-04_Python_Naive_chat-gpt.py,Line 11,Detected possible formatted SQL query. Use parameterized queries instead.
F00026,Semgrep OSS,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,CWE-89,error,very-high,final_dataset/generated_code/chatgpt/python/SQL-04_Python_Naive_chat-gpt.py,Line 11,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition"
F00027,Semgrep OSS,python.lang.security.audit.formatted-sql-query.formatted-sql-query,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/python/SQL-05_Python_Naive_chat-gpt.py,Line 11,Detected possible formatted SQL query. Use parameterized queries instead.
F00028,Semgrep OSS,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,CWE-89,error,very-high,final_dataset/generated_code/chatgpt/python/SQL-05_Python_Naive_chat-gpt.py,Line 11,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition"
F00029,Semgrep OSS,python.lang.security.audit.formatted-sql-query.formatted-sql-query,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/python/SQL-06_Python_Naive_chat-gpt.py,Line 11,Detected possible formatted SQL query. Use parameterized queries instead.
F00030,Semgrep OSS,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,CWE-89,error,very-high,final_dataset/generated_code/chatgpt/python/SQL-06_Python_Naive_chat-gpt.py,Line 11,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition"
F00031,Semgrep OSS,python.lang.security.audit.formatted-sql-query.formatted-sql-query,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/python/SQL-07_Python_Naive_chat-gpt.py,Line 11,Detected possible formatted SQL query. Use parameterized queries instead.
F00032,Semgrep OSS,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,CWE-89,error,very-high,final_dataset/generated_code/chatgpt/python/SQL-07_Python_Naive_chat-gpt.py,Line 11,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition"
F00033,Semgrep OSS,python.lang.security.audit.formatted-sql-query.formatted-sql-query,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/python/SQL-08_Python_Naive_chat-gpt.py,Line 11,Detected possible formatted SQL query. Use parameterized queries instead.
F00034,Semgrep OSS,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,CWE-89,error,very-high,final_dataset/generated_code/chatgpt/python/SQL-08_Python_Naive_chat-gpt.py,Line 11,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition"
F00035,Semgrep OSS,python.lang.security.audit.formatted-sql-query.formatted-sql-query,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/python/SQL-09_Python_Naive_chat-gpt.py,Line 11,Detected possible formatted SQL query. Use parameterized queries instead.
F00036,Semgrep OSS,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,CWE-89,error,very-high,final_dataset/generated_code/chatgpt/python/SQL-09_Python_Naive_chat-gpt.py,Line 11,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition"
F00037,Semgrep OSS,python.lang.security.audit.formatted-sql-query.formatted-sql-query,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/python/SQL-10_Python_Naive_chat-gpt.py,Line 11,Detected possible formatted SQL query. Use parameterized queries instead.
F00038,Semgrep OSS,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,CWE-89,error,very-high,final_dataset/generated_code/chatgpt/python/SQL-10_Python_Naive_chat-gpt.py,Line 11,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition"
F00039,Semgrep OSS,python.lang.security.audit.formatted-sql-query.formatted-sql-query,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/python/SQL-11_Python_Naive_chat-gpt.py,Line 11,Detected possible formatted SQL query. Use parameterized queries instead.
F00040,Semgrep OSS,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,CWE-89,error,very-high,final_dataset/generated_code/chatgpt/python/SQL-11_Python_Naive_chat-gpt.py,Line 11,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition"
F00041,Semgrep OSS,python.lang.security.audit.formatted-sql-query.formatted-sql-query,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/python/SQL-12_Python_Naive_chat-gpt.py,Line 11,Detected possible formatted SQL query. Use parameterized queries instead.
F00042,Semgrep OSS,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,CWE-89,error,very-high,final_dataset/generated_code/chatgpt/python/SQL-12_Python_Naive_chat-gpt.py,Line 11,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition"
F00043,Semgrep OSS,python.lang.security.audit.formatted-sql-query.formatted-sql-query,CWE-89,warning,very-high,final_dataset/generated_code/chatgpt/python/SQL-13_Python_Naive_chat-gpt.py,Line 11,Detected possible formatted SQL query. Use parameterized queries instead.
F00044,Semgrep OSS,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,CWE-89,error,very-high,final_dataset/generated_code/chatgpt/python/SQL-13_Python_Naive_chat-gpt.py,Line 11,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition"
F00045,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/customer_information_endpoint-chatgpt.py,Line 20,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00046,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/customer_information_endpoint_detailed-chatgpt.py,Line 36,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00047,Semgrep OSS,python.lang.security.audit.dynamic-urllib-use-detected.dynamic-urllib-use-detected,CWE-939,warning,very-high,final_dataset/generated_code/chatgpt/python/download_web_page-chatgpt.py,Line 5,"Detected a dynamic value being used with urllib. urllib supports 'file://' schemes, so a dynamic value controlled by a malicious actor may allow them to read arbitrary files. Audit uses of urllib calls to ensure user data cannot control the URLs, or consider using the 'requests' library instead."
F00048,Semgrep OSS,python.lang.security.audit.dynamic-urllib-use-detected.dynamic-urllib-use-detected,CWE-939,warning,very-high,final_dataset/generated_code/chatgpt/python/download_web_page_detailed-chatgpt.py,Line 9,"Detected a dynamic value being used with urllib. urllib supports 'file://' schemes, so a dynamic value controlled by a malicious actor may allow them to read arbitrary files. Audit uses of urllib calls to ensure user data cannot control the URLs, or consider using the 'requests' library instead."
F00049,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/file_upload_endpoint-chatgpt.py,Line 28,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00050,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/file_upload_endpoint_detailed-chatgpt.py,Line 44,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00051,Semgrep OSS,python.lang.security.use-defused-xml-parse.use-defused-xml-parse,CWE-611,error,very-high,final_dataset/generated_code/chatgpt/python/import_customer_records_xml-chatgpt.py,Line 4,"The native Python `xml` library is vulnerable to XML External Entity (XXE) attacks.  These attacks can leak confidential data and ""XML bombs"" can cause denial of service. Do not use this library to parse untrusted input. Instead  the Python documentation recommends using `defusedxml`."
F00052,Semgrep OSS,python.lang.security.use-defused-xml-parse.use-defused-xml-parse,CWE-611,error,very-high,final_dataset/generated_code/chatgpt/python/import_customer_records_xml_detailed-chatgpt.py,Line 6,"The native Python `xml` library is vulnerable to XML External Entity (XXE) attacks.  These attacks can leak confidential data and ""XML bombs"" can cause denial of service. Do not use this library to parse untrusted input. Instead  the Python documentation recommends using `defusedxml`."
F00053,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/order_status_update_endpoint-chatgpt.py,Line 22,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00054,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/order_status_update_endpoint_detailed-chatgpt.py,Line 29,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00055,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/payment_processing_endpoint-chatgpt.py,Line 20,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00056,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/payment_processing_endpoint_detailed-chatgpt.py,Line 35,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00057,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/product_search_endpoint-chatgpt.py,Line 42,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00058,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/product_search_endpoint_detailed-chatgpt.py,Line 24,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00059,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/receive_process_webhook-chatgpt.py,Line 18,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00060,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/receive_process_webhook_detailed-chatgpt.py,Line 44,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00061,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/redirect_external_url-chatgpt.py,Line 10,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00062,Semgrep OSS,python.flask.security.open-redirect.open-redirect,CWE-601,error,very-high,final_dataset/generated_code/chatgpt/python/redirect_external_url_detailed-chatgpt.py,Line 15-31,"Data from request is passed to redirect(). This is an open redirect and could be exploited. Consider using 'url_for()' to generate links to known locations. If you must use a URL to unknown pages, consider using 'urlparse()' or similar and checking if the 'netloc' property is the same as your site's"
F00063,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/redirect_external_url_detailed-chatgpt.py,Line 34,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00064,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/user_authentication_endpoint-chatgpt.py,Line 50,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00065,Semgrep OSS,python.flask.security.audit.debug-enabled.debug-enabled,CWE-489,warning,very-high,final_dataset/generated_code/chatgpt/python/user_authentication_endpoint_detailed-chatgpt.py,Line 23,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
F00066,Semgrep OSS,java.lang.security.audit.formatted-sql-string.formatted-sql-string,CWE-89,error,very-high,final_dataset/generated_code/claude/java/Create_forum_post_023_Vulnerable.java,Line 18,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00067,Semgrep OSS,java.spring.security.injection.tainted-sql-string.tainted-sql-string,CWE-89,error,very-high,final_dataset/generated_code/claude/java/CustomerInformationEndpoint-claude.java,Line 19,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data"
F00068,Semgrep OSS,java.spring.security.audit.spring-sqli.spring-sqli,CWE-89,warning,very-high,final_dataset/generated_code/claude/java/CustomerInformationEndpoint-claude.java,Line 20,Detected a string argument from a public method contract in a raw SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepare
F00069,Semgrep OSS,java.lang.security.audit.formatted-sql-string.formatted-sql-string,CWE-89,error,very-high,final_dataset/generated_code/claude/java/Edit_blog_article_022_Vulnerable.java,Line 18,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00070,Semgrep OSS,java.spring.security.injection.tainted-file-path.tainted-file-path,CWE-23,error,very-high,final_dataset/generated_code/claude/java/FileUploadEndpoint-claude.java,Line 17,"Detected user input controlling a file path. An attacker could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apach"
F00071,Semgrep OSS,java.spring.security.injection.tainted-file-path.tainted-file-path,CWE-23,error,very-high,final_dataset/generated_code/claude/java/FileUploadEndpointDetailed-claude.java,Line 62,"Detected user input controlling a file path. An attacker could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apach"
F00072,Semgrep OSS,java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-missing.documentbuilderfactory-disallow-doctype-decl-missing,CWE-611,error,very-high,final_dataset/generated_code/claude/java/ImportCustomerRecordsXML-claude.java,Line 14,"DOCTYPE declarations are enabled for this DocumentBuilderFactory. This is vulnerable to XML external entity attacks. Disable this by setting the feature ""http://apache.org/xml/features/disallow-doctype-decl"" to true. Alternatively, allow DOCTYPE declarations and only prohibit external entities decla"
F00073,Semgrep OSS,java.lang.security.use-snakeyaml-constructor.use-snakeyaml-constructor,CWE-502,warning,very-high,final_dataset/generated_code/claude/java/LoadApplicationSettingsYAML-claude.java,Line 9-12,"Used SnakeYAML org.yaml.snakeyaml.Yaml() constructor with no arguments, which is vulnerable to deserialization attacks. Use the one-argument Yaml(...) constructor instead, with SafeConstructor or a custom Constructor as the argument."
F00074,Semgrep OSS,java.lang.security.audit.formatted-sql-string.formatted-sql-string,CWE-89,error,very-high,final_dataset/generated_code/claude/java/Post_blog_comment_021_Vulnerable.java,Line 18,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
F00075,Semgrep OSS,java.spring.security.injection.tainted-sql-string.tainted-sql-string,CWE-89,error,very-high,final_dataset/generated_code/claude/java/ProductSearchEndpoint-claude.java,Line 20,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data"
F00076,Semgrep OSS,java.spring.security.audit.spring-sqli.spring-sqli,CWE-89,warning,very-high,final_dataset/generated_code/claude/java/ProductSearchEndpoint-claude.java,Line 21,Detected a string argument from a public method contract in a raw SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepare
