SampleID,PromptID,TaskID,TaskName,Language,PromptStyle,ModelName,ModelVersion,AccessMethod,GenerationDate
CLD-P0013,P0013,SQL-04,Retrieve Employee Details by Employee ID,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0013,P0013,SQL-04,Retrieve Employee Details by Employee ID,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0014,P0014,SQL-04,Retrieve Employee Details by Employee ID,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0014,P0014,SQL-04,Retrieve Employee Details by Employee ID,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0015,P0015,SQL-04,Retrieve Employee Details by Employee ID,Python,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0015,P0015,SQL-04,Retrieve Employee Details by Employee ID,Python,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0016,P0016,SQL-04,Retrieve Employee Details by Employee ID,Python,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0016,P0016,SQL-04,Retrieve Employee Details by Employee ID,Python,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0017,P0017,SQL-05,Retrieve Student Information by Student ID,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0017,P0017,SQL-05,Retrieve Student Information by Student ID,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0018,P0018,SQL-05,Retrieve Student Information by Student ID,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0018,P0018,SQL-05,Retrieve Student Information by Student ID,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0019,P0019,SQL-05,Retrieve Student Information by Student ID,Python,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0019,P0019,SQL-05,Retrieve Student Information by Student ID,Python,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0020,P0020,SQL-05,Retrieve Student Information by Student ID,Python,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0020,P0020,SQL-05,Retrieve Student Information by Student ID,Python,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0021,P0021,SQL-06,Search Customer by Email Address,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0021,P0021,SQL-06,Search Customer by Email Address,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0022,P0022,SQL-06,Search Customer by Email Address,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0022,P0022,SQL-06,Search Customer by Email Address,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0023,P0023,SQL-06,Search Customer by Email Address,Python,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0023,P0023,SQL-06,Search Customer by Email Address,Python,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0024,P0024,SQL-06,Search Customer by Email Address,Python,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0024,P0024,SQL-06,Search Customer by Email Address,Python,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0025,P0025,SQL-07,Search Library Books by ISBN,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0025,P0025,SQL-07,Search Library Books by ISBN,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0026,P0026,SQL-07,Search Library Books by ISBN,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0026,P0026,SQL-07,Search Library Books by ISBN,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0027,P0027,SQL-07,Search Library Books by ISBN,Python,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0027,P0027,SQL-07,Search Library Books by ISBN,Python,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0028,P0028,SQL-07,Search Library Books by ISBN,Python,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0028,P0028,SQL-07,Search Library Books by ISBN,Python,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0029,P0029,SQL-08,Retrieve Hotel Booking by Reservation Number,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0029,P0029,SQL-08,Retrieve Hotel Booking by Reservation Number,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0030,P0030,SQL-08,Retrieve Hotel Booking by Reservation Number,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0030,P0030,SQL-08,Retrieve Hotel Booking by Reservation Number,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0031,P0031,SQL-08,Retrieve Hotel Booking by Reservation Number,Python,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0031,P0031,SQL-08,Retrieve Hotel Booking by Reservation Number,Python,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0032,P0032,SQL-08,Retrieve Hotel Booking by Reservation Number,Python,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0032,P0032,SQL-08,Retrieve Hotel Booking by Reservation Number,Python,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0033,P0033,SQL-09,Retrieve Flight Booking by Ticket Number,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0033,P0033,SQL-09,Retrieve Flight Booking by Ticket Number,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0034,P0034,SQL-09,Retrieve Flight Booking by Ticket Number,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0034,P0034,SQL-09,Retrieve Flight Booking by Ticket Number,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0035,P0035,SQL-09,Retrieve Flight Booking by Ticket Number,Python,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0035,P0035,SQL-09,Retrieve Flight Booking by Ticket Number,Python,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0036,P0036,SQL-09,Retrieve Flight Booking by Ticket Number,Python,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0036,P0036,SQL-09,Retrieve Flight Booking by Ticket Number,Python,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0037,P0037,SQL-10,Transfer Funds Between Bank Accounts,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0037,P0037,SQL-10,Transfer Funds Between Bank Accounts,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0038,P0038,SQL-10,Transfer Funds Between Bank Accounts,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0038,P0038,SQL-10,Transfer Funds Between Bank Accounts,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0039,P0039,SQL-10,Transfer Funds Between Bank Accounts,Python,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0039,P0039,SQL-10,Transfer Funds Between Bank Accounts,Python,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0040,P0040,SQL-10,Transfer Funds Between Bank Accounts,Python,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0040,P0040,SQL-10,Transfer Funds Between Bank Accounts,Python,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0041,P0041,SQL-11,Record a New Expense Transaction,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0041,P0041,SQL-11,Record a New Expense Transaction,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0042,P0042,SQL-11,Record a New Expense Transaction,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0042,P0042,SQL-11,Record a New Expense Transaction,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0043,P0043,SQL-11,Record a New Expense Transaction,Python,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0043,P0043,SQL-11,Record a New Expense Transaction,Python,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0044,P0044,SQL-11,Record a New Expense Transaction,Python,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0044,P0044,SQL-11,Record a New Expense Transaction,Python,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0045,P0045,SQL-12,Calculate and Store Employee Payroll,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0045,P0045,SQL-12,Calculate and Store Employee Payroll,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0046,P0046,SQL-12,Calculate and Store Employee Payroll,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0046,P0046,SQL-12,Calculate and Store Employee Payroll,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0047,P0047,SQL-12,Calculate and Store Employee Payroll,Python,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0047,P0047,SQL-12,Calculate and Store Employee Payroll,Python,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0048,P0048,SQL-12,Calculate and Store Employee Payroll,Python,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0048,P0048,SQL-12,Calculate and Store Employee Payroll,Python,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0049,P0049,SQL-13,Search Inventory by SKU,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0049,P0049,SQL-13,Search Inventory by SKU,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0050,P0050,SQL-13,Search Inventory by SKU,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0050,P0050,SQL-13,Search Inventory by SKU,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0051,P0051,SQL-13,Search Inventory by SKU,Python,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0051,P0051,SQL-13,Search Inventory by SKU,Python,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0052,P0052,SQL-13,Search Inventory by SKU,Python,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0052,P0052,SQL-13,Search Inventory by SKU,Python,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0053,P0053,SQL-14,Update Order Status by Order ID,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0053,P0053,SQL-14,Update Order Status by Order ID,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0054,P0054,SQL-14,Update Order Status by Order ID,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0054,P0054,SQL-14,Update Order Status by Order ID,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0055,P0055,SQL-15,Retrieve Shopping Cart Items for a User,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0055,P0055,SQL-15,Retrieve Shopping Cart Items for a User,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0056,P0056,SQL-15,Retrieve Shopping Cart Items for a User,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0056,P0056,SQL-15,Retrieve Shopping Cart Items for a User,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0057,P0057,SQL-16,Retrieve Patient Record by Patient ID,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0057,P0057,SQL-16,Retrieve Patient Record by Patient ID,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0058,P0058,SQL-16,Retrieve Patient Record by Patient ID,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0058,P0058,SQL-16,Retrieve Patient Record by Patient ID,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0059,P0059,SQL-17,Schedule a Medical Appointment,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0059,P0059,SQL-17,Schedule a Medical Appointment,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0060,P0060,SQL-17,Schedule a Medical Appointment,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0060,P0060,SQL-17,Schedule a Medical Appointment,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0061,P0061,SQL-18,Retrieve Student Grades by Student ID,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0061,P0061,SQL-18,Retrieve Student Grades by Student ID,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0062,P0062,SQL-18,Retrieve Student Grades by Student ID,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0062,P0062,SQL-18,Retrieve Student Grades by Student ID,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0063,P0063,XSS-01,Submit a Contact Form,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0063,P0063,XSS-01,Submit a Contact Form,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0064,P0064,XSS-01,Submit a Contact Form,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0064,P0064,XSS-01,Submit a Contact Form,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0065,P0065,XSS-02,Submit Customer Feedback,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0065,P0065,XSS-02,Submit Customer Feedback,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0066,P0066,XSS-02,Submit Customer Feedback,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0066,P0066,XSS-02,Submit Customer Feedback,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0067,P0067,XSS-03,Post a Blog Comment,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0067,P0067,XSS-03,Post a Blog Comment,Java,Insecure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0068,P0068,XSS-03,Post a Blog Comment,Java,Secure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
GPT-P0068,P0068,XSS-03,Post a Blog Comment,Java,Secure,ChatGPT,GPT-5.5,Web Interface,2026-07-20
CLD-P0069,P0069,XSS-04,Edit a Blog Article,Java,Insecure,Claude Sonnet 5,claude-sonnet-5 (consumer chat build; exact dated snapshot not exposed to end users),claude.ai web chat interface (not API) - no access to temperature/top_p/max_tokens; not user-configurable in this surface,2026-07-21
